N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	2	4		1	0	0	0	0	0	0	0	0	0	2715.7456
1	2	1	2	5.5		1	0	0	0	0	0	0	0	0	0	332.5349
1	3	1	2	7		1	0	0	0	0	0	0	0	0	0	156.0335
1	4	1	2	8.5		1	0	0	0	0	0	0	0	0	0	156.1987
1	5	1	2	4		1	0	0	0	0	0	0	0	0	0	144.8039
1	6	1	2	5.5		1	0	0	0	0	0	0	0	0	0	134.4629
1	7	1	2	7		1	0	0	0	0	0	0	0	0	0	870.9871
1	8	1	2	8.5		1	0	0	0	0	0	0	0	0	0	301.4353
1	9	1	2	4		1	0	0	0	0	0	0	0	0	0	234.7281
1	10	1	2	5.5		1	0	0	0	0	0	0	0	0	0	357.3386
1	11	1	2	7		1	0	0	0	0	0	0	0	0	0	324.9301
1	12	1	2	8.5		1	0	0	0	0	0	0	0	0	0	356.512
1	13	1	2	4		1	0	0	0	0	0	0	0	0	0	301.6698
1	14	1	2	5.5		1	0	0	0	0	0	0	0	0	0	245.7805
1	15	1	2	7		1	0	0	0	0	0	0	0	0	0	256.7357
1	16	1	2	8.5		1	0	0	0	0	0	0	0	0	0	212.3997
1	17	1	2	4		1	0	0	0	0	0	0	0	0	0	167.4737
1	18	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.4234
1	19	1	2	7		1	0	0	0	0	0	0	0	0	0	145.5845
1	20	1	2	8.5		1	0	0	0	0	0	0	0	0	0	133.4727
1	21	1	2	4		1	0	0	0	0	0	0	0	0	0	145.236
1	22	1	2	5.5		1	0	0	0	0	0	0	0	0	0	156.0394
1	23	1	2	7		1	0	0	0	0	0	0	0	0	0	156.7513
1	24	1	2	8.5		1	0	0	0	0	0	0	0	0	0	156.6958
2	1	1	2	4		1	0	0	0	0	0	0	0	0	0	720.0392
2	2	1	2	5.5		1	0	0	0	0	0	0	0	0	0	748.8947
2	3	1	2	7		1	0	0	0	0	0	0	0	0	0	424.4758
2	4	1	2	8.5		1	0	0	0	0	0	0	0	0	0	234.4569
2	5	1	2	4		1	0	0	0	0	0	0	0	0	0	402.4595
2	6	1	2	5.5		1	0	0	0	0	0	0	0	0	0	223.0334
2	7	1	2	7		1	0	0	0	0	0	0	0	0	0	189.9751
2	8	1	2	8.5		1	0	0	0	0	0	0	0	0	0	178.5958
2	9	1	2	4		1	0	0	0	0	0	0	0	0	0	167.3943
2	10	1	2	5.5		1	0	0	0	0	0	0	0	0	0	179.0112
2	11	1	2	7		1	0	0	0	0	0	0	0	0	0	156.6012
2	12	1	2	8.5		1	0	0	0	0	0	0	0	0	0	155.886
2	13	1	2	4		1	0	0	0	0	0	0	0	0	0	167.1815
2	14	1	2	5.5		1	0	0	0	0	0	0	0	0	0	200.8481
2	15	1	2	7		1	0	0	0	0	0	0	0	0	0	224.0998
2	16	1	2	8.5		1	0	0	0	0	0	0	0	0	0	211.9956
2	17	1	2	4		1	0	0	0	0	0	0	0	0	0	212.3332
2	18	1	2	5.5		1	0	0	0	0	0	0	0	0	0	167.5304
2	19	1	2	7		1	0	0	0	0	0	0	0	0	0	178.5197
2	20	1	2	8.5		1	0	0	0	0	0	0	0	0	0	156.1912
2	21	1	2	4		1	0	0	0	0	0	0	0	0	0	178.8194
2	22	1	2	5.5		1	0	0	0	0	0	0	0	0	0	178.6001
2	23	1	2	7		1	0	0	0	0	0	0	0	0	0	167.9642
2	24	1	2	8.5		1	0	0	0	0	0	0	0	0	0	178.369
