N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	8.844037	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	1.897
1	2	1	1	9.903669	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.208
1	3	1	1	9.646789	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	4	1	1	7.366972	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	5	1	1	8.041285	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.144
1	6	1	1	9.004587	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.157
1	7	1	1	8.683486	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.155
1	8	1	1	9.614678	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.112
1	9	1	1	6.660551	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	10	1	1	8.779817	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.144
1	11	1	1	8.747706	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.178
1	12	1	1	9.261468	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	13	1	1	7.720183	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.168
1	14	1	1	8.811927	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	15	1	1	6.724771	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.155
1	16	1	1	9.711009	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.144
